City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,-43.3002,-65.1023,48.72,47,100,23.53
1,Hilo,US,19.7297,-155.09,84.27,92,100,3.44
2,Gat,IL,31.61,34.7642,79.81,100,0,5.03
3,Lebu,CL,-37.6167,-73.65,53.04,96,100,11.03
4,Mataura,NZ,-46.1927,168.8643,39.47,91,100,2.48
5,Kodiak,US,57.79,-152.4072,53.6,84,100,10.09
6,Albany,US,42.6001,-73.9662,95.23,46,51,1.01
7,Rikitea,PF,-23.1203,-134.9692,73.31,75,0,2.71
8,Yaan,NG,7.3833,8.5667,73.8,87,100,3.6
9,Kavaratti,IN,10.5669,72.642,81.16,79,100,18.88
10,Kaitangata,NZ,-46.2817,169.8464,41.16,82,100,6.44
11,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,44,13.82
12,Bashtanka,UA,47.4072,32.4387,70.83,58,72,13.0
13,Cape Town,ZA,-33.9258,18.4232,52.12,73,0,3.44
14,Port-Cartier,CA,50.0334,-66.8654,79.75,42,10,12.17
15,Carlogani,RO,44.5167,24.15,77.25,37,0,4.99
16,Hithadhoo,MV,-0.6,73.0833,80.83,69,100,2.13
17,Matara,LK,5.9485,80.5353,77.49,88,89,13.42
18,Rio Gallegos,AR,-51.6226,-69.2181,33.82,69,100,32.17
19,Bredasdorp,ZA,-34.5322,20.0403,45.81,87,1,4.76
20,Hermanus,ZA,-34.4187,19.2345,42.8,67,1,3.36
21,Vieques,PR,18.425,-65.8329,88.84,77,17,13.76
22,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,5,6.98
23,Atuona,PF,-9.8,-139.0333,77.77,74,9,15.12
24,Aykhal,RU,66.0,111.5,52.54,63,100,3.44
25,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05
26,Belmonte,BR,-15.8631,-38.8828,72.5,78,3,8.93
27,Belyy Yar,RU,53.6039,91.3903,52.86,89,0,4.47
28,Aswan,EG,24.0934,32.907,92.52,20,1,14.85
29,Jackson,US,42.4165,-122.8345,97.39,26,0,3.0
30,Ushuaia,AR,-54.8,-68.3,33.42,93,100,21.85
31,Kuryk,KZ,43.2,51.65,83.43,43,50,19.75
32,Korfovskiy,RU,48.2183,135.0564,65.66,93,92,4.52
33,Algiers,DZ,36.7525,3.042,76.82,83,75,9.22
34,Puerto Madero,MX,14.7208,-92.4215,89.8,70,40,8.05
35,Georgetown,MY,5.4112,100.3354,81.9,94,20,5.01
36,Salalah,OM,17.0151,54.0924,76.37,96,87,7.43
37,Puerto Ayora,EC,-0.7393,-90.3518,80.56,99,92,8.01
38,Hofn,IS,64.2539,-15.2082,52.61,74,100,6.02
39,Punta Arenas,CL,-53.15,-70.9167,35.62,80,75,24.16
40,Port Elizabeth,ZA,-33.918,25.5701,56.32,95,75,6.91
41,Mayo,US,38.8876,-76.5119,94.91,67,25,5.99
42,Cherskiy,RU,68.75,161.3,42.03,64,18,13.0
43,Jurado,CO,7.1053,-77.7641,80.17,86,99,7.76
44,Sitka,US,57.0531,-135.33,53.1,93,100,6.71
45,Codrington,AU,-38.2667,141.9667,37.76,83,0,7.87
46,Batemans Bay,AU,-35.7167,150.1833,52.11,86,100,3.29
47,Shizunai,JP,42.3339,142.3669,65.41,98,100,2.13
48,Nadym,RU,65.5333,72.5167,47.82,65,8,10.54
49,Carnarvon,AU,-24.8667,113.6333,70.59,79,23,14.63
50,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,77,100,14.97
51,Yellowknife,CA,62.456,-114.3525,66.72,52,75,16.11
52,Port Alfred,ZA,-33.5906,26.891,56.17,97,100,8.66
53,East London,ZA,-33.0153,27.9116,61.97,83,95,4.54
54,Sistranda,NO,63.7256,8.834,57.16,97,100,6.02
55,Poum,NC,-20.2333,164.0167,75.81,85,100,7.87
56,Khatanga,RU,71.9667,102.5,45.45,67,100,20.49
57,Tinskoy,RU,56.1525,96.9161,52.3,93,81,3.91
58,Pisco,PE,-13.7,-76.2167,61.02,88,100,6.91
59,Santa Marinella,IT,42.0345,11.8536,78.71,77,0,2.98
60,Tucuman,AR,-26.8241,-65.2226,73.4,33,88,1.14
61,Nemuro,JP,43.3236,145.575,57.56,91,64,8.77
62,Kirakira,SB,-10.4544,161.9205,80.89,79,74,7.07
63,Esperance,AU,-33.8667,121.9,61.79,52,100,18.66
64,Avarua,CK,-21.2078,-159.775,75.25,69,75,14.97
65,Vestmannaeyjar,IS,63.4427,-20.2734,54.79,78,60,14.54
66,Maumere,ID,-8.6199,122.2111,74.39,79,91,7.02
67,Dan Khun Thot,TH,15.2085,101.7714,77.27,89,100,3.15
68,Jamestown,US,42.097,-79.2353,88.02,52,40,17.27
69,Dingle,PH,10.9995,122.6711,76.53,88,73,1.79
70,Sidi Ali,DZ,36.0998,0.4206,76.06,75,0,5.75
71,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,33,20,27.63
72,Seryshevo,RU,51.0933,128.3786,60.35,88,5,5.97
73,Necochea,AR,-38.5473,-58.7368,58.95,55,28,17.4
74,Encruzilhada Do Sul,BR,-30.5439,-52.5219,57.9,95,0,2.77
75,Tornio,FI,65.8481,24.1466,60.82,84,64,5.28
76,Ginda,IN,30.6945,78.4932,66.83,96,100,0.54
77,Naryan-Mar,RU,67.6713,53.087,47.77,92,28,13.8
78,Upernavik,GL,72.7868,-56.1549,47.97,70,82,8.52
79,Hobart,AU,-42.8794,147.3294,35.26,93,0,4.61
80,Sao Filipe,CV,14.8961,-24.4956,76.57,88,81,5.95
81,La Tuque,CA,47.4334,-72.7824,80.85,50,65,3.44
82,Porto Novo,BJ,6.4965,2.6036,74.05,74,94,6.93
83,Linxia,CN,35.6003,103.2064,58.86,80,58,2.64
84,Tasiilaq,GL,65.6145,-37.6368,39.61,81,55,0.6
85,Lieksa,FI,63.3167,30.0167,60.94,88,17,7.65
86,Tiarei,PF,-17.5333,-149.3333,82.42,71,2,9.84
87,Imbituba,BR,-28.24,-48.6703,65.08,91,0,8.99
88,Villa Carlos Paz,AR,-31.4241,-64.4978,70.39,29,23,15.99
89,Bethel,US,41.3712,-73.414,98.19,52,26,5.12
90,Makakilo City,US,21.3469,-158.0858,80.69,68,10,17.31
91,Morondava,MG,-20.2833,44.2833,68.85,88,3,7.92
92,Popondetta,PG,-8.7537,148.2534,74.01,86,23,2.57
93,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,11,16.11
94,Acapulco,MX,16.8634,-99.8901,87.69,71,30,6.98
95,Busselton,AU,-33.65,115.3333,55.83,94,100,12.66
96,Bubaque,GW,11.2833,-15.8333,76.68,91,100,16.84
97,Namibe,AO,-15.1961,12.1522,62.33,83,1,5.84
98,Yeniseysk,RU,58.4497,92.1703,51.03,99,15,4.14
99,Portland,US,45.5234,-122.6762,91.53,43,0,3.0
100,Malakal,SS,9.5334,31.6605,73.71,87,100,3.27
101,Moba,CN,33.2288,105.0179,60.69,95,92,4.97
102,Maningrida,AU,-12.0667,134.2667,59.07,86,37,8.93
103,Tezu,IN,27.9167,96.1667,76.05,98,100,1.86
104,Saskylakh,RU,71.9167,114.0833,39.78,81,64,14.05
105,Nanortalik,GL,60.1432,-45.2371,51.3,83,15,14.09
106,Honiara,SB,-9.4333,159.95,79.38,79,55,4.59
107,Santa Maria,BR,-29.6842,-53.8069,63.7,82,0,6.91
108,Butaritari,KI,3.0707,172.7902,81.43,78,61,8.86
109,Faanui,PF,-16.4833,-151.75,77.7,66,0,10.51
110,Vostok,RU,46.4856,135.8833,61.11,97,12,2.01
111,Tuatapere,NZ,-46.1333,167.6833,42.94,82,100,2.1
112,Thompson,CA,55.7435,-97.8558,69.96,56,75,17.27
113,Natal,BR,-5.795,-35.2094,82.62,74,75,12.66
114,Bengkulu,ID,-3.8004,102.2655,75.81,90,63,2.95
115,Samarai,PG,-10.6167,150.6667,80.17,80,16,10.09
116,Aitape,PG,-3.1374,142.3475,75.87,88,100,4.45
117,Kapaa,US,22.0752,-159.319,81.12,73,17,5.99
118,Saldanha,ZA,-33.0117,17.9442,41.05,63,0,11.25
119,Cancun,MX,21.1743,-86.8466,86.05,79,40,3.44
120,Oyama,JP,36.3,139.8,83.59,74,91,2.57
121,Batagay-Alyta,RU,67.8006,130.4114,40.17,82,100,0.89
122,Shelburne,CA,44.0787,-80.2041,83.75,52,100,20.54
123,Tilichiki,RU,60.4667,166.1,56.84,47,6,6.44
124,Chuy,UY,-33.6971,-53.4616,56.43,94,0,6.15
125,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.65,86,11,11.32
126,Lata,PT,40.1629,-8.3327,62.26,84,0,2.35
127,El Dorado,US,38.7666,-120.5177,97.79,18,0,1.99
128,Bethanien,NA,-26.502,17.1583,53.74,48,0,4.79
129,Te Anau,NZ,-45.4167,167.7167,38.7,93,97,2.93
130,Gulabpura,IN,25.9,74.6667,81.82,78,100,10.4
131,Chokurdakh,RU,70.6333,147.9167,43.5,71,89,9.19
