City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,8.05
1,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,5.75
2,Karachi,PK,24.9056,67.0822,84.02,74,75,18.41
3,Inhambane,MZ,-23.865,35.3833,67.35,85,0,5.46
4,Kapaa,US,22.0752,-159.319,82.11,72,11,5.01
5,Chokurdakh,RU,70.6333,147.9167,51.3,55,77,7.9
6,Necochea,AR,-38.5473,-58.7368,56.19,61,31,15.03
7,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,81,7.0
8,Ushuaia,AR,-54.8,-68.3,29.86,93,100,20.71
9,Albany,US,42.6001,-73.9662,86.67,55,50,1.99
10,Barcelos,PT,41.5388,-8.6151,70.84,76,0,2.64
11,Narsaq,GL,60.9167,-46.05,50.31,93,69,1.39
12,Shingu,JP,33.7333,135.9833,86.32,57,83,0.81
13,Anito,PH,12.4497,125.2886,83.68,79,93,5.32
14,Bluff,NZ,-46.6,168.3333,41.81,68,100,6.85
15,Xiaoweizhai,CN,26.1903,107.5125,73.71,94,97,5.64
16,Caravelas,BR,-17.7125,-39.2481,71.2,79,1,6.85
17,Zakamensk,RU,50.3741,103.2863,57.49,69,93,2.21
18,Samana,DO,19.2056,-69.3369,80.56,86,7,9.89
19,Takapau,NZ,-40.0333,176.35,44.73,93,100,14.05
20,Springdale,US,36.1867,-94.1288,103.82,37,6,11.99
21,Nalut,LY,30.3333,10.85,81.43,25,0,9.04
22,Kupang,ID,-10.1667,123.5833,79.27,72,91,10.92
23,Codrington,AU,-38.2667,141.9667,48.65,62,0,7.54
24,Cherskiy,RU,68.75,161.3,47.26,41,11,17.69
25,Mount Gambier,AU,-37.8333,140.7667,49.05,63,5,6.29
26,Longonjo,AO,-12.9067,15.2533,64.72,39,92,2.15
27,Hilo,US,19.7297,-155.09,84.27,79,49,5.01
28,Avarua,CK,-21.2078,-159.775,75.25,69,75,16.11
29,Hambantota,LK,6.1241,81.1185,78.49,84,97,16.49
30,Khanpur,PK,28.6453,70.6567,87.85,67,18,17.29
31,Qaanaaq,GL,77.484,-69.3632,40.51,82,100,2.77
32,Tura,IN,25.5198,90.2201,73.87,97,100,3.85
33,Thompson,CA,55.7435,-97.8558,62.76,82,75,14.97
34,Rikitea,PF,-23.1203,-134.9692,73.44,74,0,3.85
35,Dinghai,CN,26.2847,119.7936,85.12,87,53,11.07
36,The Valley,AI,18.217,-63.0578,82.54,78,20,14.97
37,Maniwaki,CA,46.3834,-75.966,80.98,69,100,6.91
38,Sao Filipe,CV,14.8961,-24.4956,76.23,88,83,4.56
39,Kargat,RU,55.1956,80.2811,59.02,97,100,5.21
40,Yumen,CN,40.2833,97.2,62.06,48,69,20.2
41,Jamestown,US,42.097,-79.2353,83.01,61,13,5.99
42,Hobart,AU,-42.8794,147.3294,42.26,96,20,10.36
43,Bestobe,KZ,52.4994,73.0975,66.63,84,81,17.54
44,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,13.8
45,Mehamn,NO,71.0357,27.8492,53.55,94,20,3.44
46,Sangar,RU,63.9242,127.4739,62.47,94,100,5.08
47,Lodwar,KE,3.1191,35.5973,75.83,56,76,14.36
48,Luderitz,NA,-26.6481,15.1594,56.17,60,10,14.32
49,Mayahi,NE,13.9553,7.6712,77.05,63,100,2.33
50,Upernavik,GL,72.7868,-56.1549,48.2,69,94,8.61
51,Dikson,RU,73.5069,80.5464,39.76,85,60,28.19
52,Yellowknife,CA,62.456,-114.3525,70.32,40,75,10.36
53,Flin Flon,CA,54.7682,-101.865,60.64,77,75,2.3
54,Meadow Lake,US,34.8014,-106.5436,99.84,21,98,9.89
55,Kaeo,NZ,-35.1,173.7833,57.33,91,45,16.91
56,Turkistan,KZ,43.0,68.0,85.87,17,0,10.96
57,Kielce,PL,50.8703,20.6275,66.02,1,0,5.32
58,Pochutla,MX,15.7432,-96.4661,86.83,78,96,4.97
59,Seymchan,RU,62.8833,152.4333,45.55,77,100,9.4
60,Henties Bay,NA,-22.116,14.2845,54.48,88,0,5.48
61,Nagato,JP,34.3833,131.2,82.4,83,97,11.52
62,Ponta Do Sol,PT,32.6667,-17.1,71.71,78,6,5.35
63,Mamoudzou,YT,-12.7794,45.2272,67.62,88,0,4.61
64,Victoria,HK,22.2855,114.1577,89.96,79,16,5.01
65,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,38,0,28.77
66,Lavrentiya,RU,65.5833,-171.0,41.76,76,100,25.84
67,Kutum,SD,14.2,24.6667,72.68,68,79,11.9
68,Abbeville,FR,50.1,1.8333,64.36,97,60,7.85
69,Merauke,ID,-8.4667,140.3333,79.56,80,78,12.37
70,Khatanga,RU,71.9667,102.5,47.89,62,100,22.24
71,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.2,93,6,7.81
72,Vaini,TO,-21.2,-175.2,78.96,78,40,9.22
73,Hualmay,PE,-11.0964,-77.6139,62.28,81,39,10.38
74,Hermanus,ZA,-34.4187,19.2345,50.29,74,0,6.46
75,Punta Arenas,CL,-53.15,-70.9167,33.82,74,40,21.85
76,Provideniya,RU,64.3833,-173.3,48.36,66,75,22.37
77,Mataura,NZ,-46.1927,168.8643,41.49,81,100,3.22
78,Lac Du Bonnet,CA,50.2536,-96.0612,73.85,61,5,12.73
79,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,2.3
80,Acapulco,MX,16.8634,-99.8901,84.88,78,56,5.66
81,Ancud,CL,-41.8697,-73.8203,39.22,67,49,9.73
82,Mahebourg,MU,-20.4081,57.7,68.29,77,40,13.8
83,Saskylakh,RU,71.9167,114.0833,48.09,62,51,16.11
84,Kruisfontein,ZA,-34.0033,24.7314,51.89,89,91,5.93
85,Busselton,AU,-33.65,115.3333,56.5,85,100,10.11
86,Katsuura,JP,35.1333,140.3,80.15,78,71,7.96
87,Esperance,AU,-33.8667,121.9,59.16,65,100,22.79
88,Arraial Do Cabo,BR,-22.9661,-42.0278,69.98,87,4,10.67
89,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,57.49,94,95,8.5
90,Butaritari,KI,3.0707,172.7902,81.05,81,80,9.53
91,Miri,MY,4.4148,114.0089,80.01,82,89,4.34
92,Tiksi,RU,71.6872,128.8694,40.06,85,64,21.63
93,Shunyi,CN,40.125,116.6453,78.75,73,0,2.24
94,Karratha,AU,-20.7377,116.8463,68.18,57,4,5.91
95,Amnat Charoen,TH,15.9167,104.75,74.59,94,100,10.33
96,Birjand,IR,32.8663,59.2211,73.04,24,0,6.73
97,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,41,15.03
98,Kilrush,IE,52.6397,-9.4833,56.95,77,49,5.44
99,Asau,RO,46.4333,26.4,67.28,69,4,5.32
100,Paamiut,GL,61.994,-49.6678,49.66,85,93,13.6
101,Chuy,UY,-33.6971,-53.4616,57.11,95,17,7.43
102,Smolenka,RU,52.1352,113.4974,62.67,77,4,4.47
103,Zhigansk,RU,66.7697,123.3711,52.32,66,100,11.81
104,New Norfolk,AU,-42.7826,147.0587,43.92,71,3,1.66
105,Amberley,US,39.2048,-84.428,90.93,69,3,5.01
106,Vangaindrano,MG,-23.35,47.6,65.44,89,60,6.26
107,Cape Town,ZA,-33.9258,18.4232,56.37,76,0,3.44
108,Bengkulu,ID,-3.8004,102.2655,75.7,91,41,3.89
109,Sur,OM,22.5667,59.5289,83.5,77,91,13.91
110,Askiz,RU,53.1319,90.5264,58.59,61,100,3.44
111,Clyde River,CA,70.4692,-68.5914,37.63,100,100,10.36
112,Khandbari,NP,27.3747,87.2039,72.68,89,100,0.76
113,Tromso,NO,69.6496,18.957,57.38,77,100,0.0
114,Port Hardy,CA,50.6996,-127.4199,61.0,73,28,14.47
115,Gornopravdinsk,RU,60.05,69.9,58.17,85,94,4.34
116,College,US,64.8569,-147.8028,68.58,53,62,1.01
117,Nouadhibou,MR,20.931,-17.0347,67.87,95,18,14.27
118,Cabedelo,BR,-6.9811,-34.8339,74.07,88,88,10.29
119,Tasiilaq,GL,65.6145,-37.6368,37.56,78,61,2.33
120,Millau,FR,44.0833,2.9167,64.53,91,0,3.53
121,Seddon,AU,-37.8068,144.8916,51.3,82,0,1.99
122,Kirensk,RU,57.7853,108.1119,60.26,83,76,3.2
123,Dingle,PH,10.9995,122.6711,80.8,82,87,1.36
124,Yulara,AU,-25.2406,130.9889,51.26,41,46,11.36
125,Jamkhed,IN,18.7362,75.3121,72.03,87,96,12.39
126,Grand Forks,US,47.9417,-97.4337,76.82,70,12,16.71
127,Valparaiso,CL,-33.0393,-71.6273,51.48,86,0,1.14
128,Bull Savanna,JM,17.8868,-77.5902,79.03,70,34,9.06
129,Bredasdorp,ZA,-34.5322,20.0403,44.62,90,0,5.59
130,Itarema,BR,-2.9248,-39.9167,77.4,76,50,11.63
131,Pipri,IN,19.8,75.5333,72.68,87,100,10.76
132,Yar-Sale,RU,66.8333,70.8333,51.82,67,30,10.85
133,Buin,CL,-33.7333,-70.75,62.11,70,0,1.3
134,Jumla,NP,29.2747,82.1838,62.94,96,100,1.5
135,Zuwarah,LY,32.9312,12.082,79.99,68,0,12.41
136,Norman Wells,CA,65.282,-126.8329,76.59,35,83,7.29
137,Jibuti,DJ,11.5,42.5,82.36,45,100,17.58
138,Egvekinot,RU,66.3167,-179.1667,42.3,54,78,7.02
139,Lata,PT,40.1629,-8.3327,59.86,89,0,2.08
140,Atuona,PF,-9.8,-139.0333,77.56,75,3,14.36
141,Cassilandia,BR,-19.1133,-51.7342,69.66,33,38,3.24
142,Aripuana,BR,-9.1667,-60.6333,75.79,46,0,2.26
143,Port Elizabeth,ZA,-33.918,25.5701,55.31,91,100,5.01
144,Kirakira,SB,-10.4544,161.9205,84.54,69,82,7.25
145,Neryungri,RU,56.6709,124.6491,67.15,79,57,5.84
146,Souillac,MU,-20.5167,57.5167,68.04,72,67,19.26
147,Victor Harbor,AU,-35.5667,138.6167,48.0,79,37,11.07
148,Port Alfred,ZA,-33.5906,26.891,56.17,97,99,1.99
149,Zhanaozen,KZ,43.3,52.8,80.96,35,33,22.55
150,Castro,BR,-24.7911,-50.0119,56.98,92,0,4.29
151,Vanimo,PG,-2.6741,141.3028,78.78,84,100,5.93
152,Portland,US,45.5234,-122.6762,94.84,35,0,3.0
153,Bilibino,RU,68.0546,166.4372,52.72,44,93,5.88
154,Meulaboh,ID,4.1363,96.1285,75.25,83,99,3.42
155,Haines Junction,CA,60.7522,-137.5108,55.35,54,100,9.22
156,Avera,US,33.194,-82.5271,86.05,61,91,9.31
157,Channel-Port Aux Basques,CA,47.5702,-59.1367,60.35,89,100,24.76
158,Lompoc,US,34.6391,-120.4579,90.01,63,29,7.0
159,Akhtanizovskaya,RU,45.32,37.1,61.27,69,0,14.05
160,Xichang,CN,27.8964,102.2634,67.19,87,96,1.95
161,Fortuna,US,40.5982,-124.1573,69.93,72,33,8.01
162,Asfi,MA,32.2994,-9.2372,76.96,59,90,14.65
163,Mount Isa,AU,-20.7333,139.5,58.77,31,0,9.22
164,Palana,RU,59.1167,159.9667,56.37,69,73,11.97
